시도별,주요 업종별,시점,사업체수 (개),종사자수 (명),매출액 (백만원),영업비용 (백만원),매출원가 (백만원),인건비 (백만원),임차료 (백만원),기타영업비용 (백만원),연간급여액 (백만원)
서울특별시,체인화 편의점,2018,8102,39594,4655165,4519097,-,373310,196036,3949751,311093
서울특별시,체인화 편의점,2019,7756,38372,4586809,4447588,3167903,393400,236924,649362,371494
서울특별시,체인화 편의점,2020,8339,37870,4529143,4492911,3162613,392549,214376,723373,375779
서울특별시,문구용품 및 회화용품 소매업,2018,359,1017,162145,144894,-,13808,14938,116148,11892
서울특별시,문구용품 및 회화용품 소매업,2019,362,1000,132643,123303,85608,13828,12090,11777,13098
서울특별시,문구용품 및 회화용품 소매업,2020,356,936,139197,131155,92955,12724,11629,13848,11621
서울특별시,의약품 및 의료용품 소매업,2018,1009,3093,946185,866123,-,63601,35897,766625,55044
서울특별시,의약품 및 의료용품 소매업,2019,1053,3095,902040,857364,695193,65018,44357,52796,57309
서울특별시,의약품 및 의료용품 소매업,2020,1112,3160,1038714,973961,797463,68656,39554,68290,57110
서울특별시,안경 및 렌즈 소매업,2018,612,1763,213345,188773,-,30757,32129,125887,28842
서울특별시,안경 및 렌즈 소매업,2019,628,1773,194550,169844,89156,33056,32032,15600,32239
서울특별시,안경 및 렌즈 소매업,2020,615,1605,189812,176027,94720,27786,30033,23489,25726
서울특별시,한식 음식점업,2018,5658,26697,2067416,1903061,-,380436,245753,1276872,366920
서울특별시,한식 음식점업,2019,5875,26194,2160016,1958290,992434,434938,268749,262170,421384
서울특별시,한식 음식점업,2020,6476,23604,2028771,1911026,907094,379674,249448,374810,370200
서울특별시,외국식 음식점업,2018,1824,10016,717691,637652,-,153807,85654,398191,147455
서울특별시,외국식 음식점업,2019,1806,9494,718347,648788,299478,168058,92447,88805,161764
서울특별시,외국식 음식점업,2020,1910,8756,673144,648076,274016,152133,87898,134029,148552
서울특별시,제과점업,2018,1511,8283,702709,664975,-,81928,70127,512920,76340
서울특별시,제과점업,2019,1451,7347,613294,556336,329603,89743,72741,64248,89294
서울특별시,제과점업,2020,1500,7250,638690,607897,374209,78802,66184,88703,77025
서울특별시,"피자, 햄버거, 샌드위치 및 유사 음식점업",2018,1915,10099,610047,557250,-,110019,58369,388862,104684
서울특별시,"피자, 햄버거, 샌드위치 및 유사 음식점업",2019,2314,12217,818662,731932,397043,159863,76692,98334,153815
서울특별시,"피자, 햄버거, 샌드위치 및 유사 음식점업",2020,2541,11379,895666,813601,414130,143153,81125,175194,139522
서울특별시,치킨전문점,2018,3690,11373,836252,736870,-,95466,77743,563661,88783
서울특별시,치킨전문점,2019,3761,11913,1062086,943774,597262,125632,103048,117833,116151
서울특별시,치킨전문점,2020,3975,11060,1078840,930803,526005,112669,93500,198628,106614
서울특별시,"김밥, 기타 간이음식점 및 포장 판매점",2018,2444,9849,594322,536905,-,108576,67913,360416,96269
서울특별시,"김밥, 기타 간이음식점 및 포장 판매점",2019,2533,9820,647422,568869,278470,120851,80079,89469,117634
